customer_id,customer_type,dynamic_segment,ACCOUNT_TYPE,PRODUCT_NAME,CURRENT_BALANCE,ACCT_AGE_YEARS,ACCT_OPEN_CHANNEL,AGE,AGE_CATEGORY,GENDER,marital_status,CITIZENSHIP,RESIDENCY_COUNTRY,INCOME,INCOME_BAND,OFAC,NNM,NAICS,pep,AVG_TRXNS_WEEK,AVG_TRXN_AMT,TRXN_AMT_MONTHLY,alerts,false_positives,false_negatives
aria_cust_000001,Individual,1,,,,,,48.6,40-49,F,Divorced,United States,United States,85206,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000002,Individual,1,,,,,,60.9,60-69,F,Divorced,United States,United States,37406,$30K-$60K,False,False,,False,3.692307692307693,6257.461538461538,27115.666666666668,1,1,0
aria_cust_000003,Individual,1,,,,,,52.0,50-59,F,Married,United States,United States,24876,<$30K,False,False,,False,,,,0,0,0
aria_cust_000004,Individual,1,,,,,,53.8,50-59,F,Divorced,United States,United States,92131,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000005,Individual,1,,,,,,48.3,40-49,F,Married,United States,United States,86119,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000006,Individual,1,,,,,,52.8,50-59,M,Married,United States,United States,37971,$30K-$60K,False,False,,False,2.1346153846153846,5935.576923076923,25720.83333333333,1,1,0
aria_cust_000007,Individual,1,,,,,,37.6,30-39,M,Single,United States,United States,70275,$60K-$100K,False,False,,False,2.423076923076923,5520.115384615385,23920.5,1,1,0
aria_cust_000008,Individual,1,,,,,,50.7,50-59,M,Single,United States,United States,47293,$30K-$60K,False,False,,False,3.576923076923077,8492.865384615385,36802.41666666666,1,1,0
aria_cust_000009,Individual,1,,,,,,38.7,30-39,F,Married,United States,United States,57841,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000010,Individual,1,,,,,,36.1,30-39,M,Married,United States,United States,59306,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000011,Individual,1,,,,,,34.4,30-39,M,Widowed,United States,United States,58742,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000012,Individual,1,,,,,,29.2,18-29,M,Single,United States,United States,27337,<$30K,False,False,,False,,,,0,0,0
aria_cust_000013,Individual,1,,,,,,43.2,40-49,M,Married,Switzerland,Switzerland,72799,$60K-$100K,False,False,,False,1.8653846153846156,7488.942307692308,32452.08333333333,1,0,0
aria_cust_000014,Individual,1,,,,,,41.7,40-49,M,Separated,United States,United States,80414,$60K-$100K,False,False,,False,2.0961538461538463,3582.2115384615386,15522.916666666666,1,1,0
aria_cust_000015,Individual,1,,,,,,47.3,40-49,M,Widowed,United States,United States,48191,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000016,Individual,1,,,,,,27.4,18-29,M,Single,United States,United States,61767,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000017,Individual,1,,,,,,25.7,18-29,M,Single,United States,United States,56006,$30K-$60K,False,False,,False,3.576923076923077,16875.19230769231,73125.83333333333,1,1,0
aria_cust_000018,Individual,1,,,,,,41.7,40-49,M,Single,United States,United States,47032,$30K-$60K,False,False,,False,2.3461538461538463,6927.269230769231,30018.166666666668,1,1,0
aria_cust_000019,Individual,1,,,,,,35.1,30-39,M,Married,United States,United States,28979,<$30K,False,False,,False,,,,0,0,0
aria_cust_000020,Individual,1,,,,,,42.6,40-49,F,Divorced,United States,United States,57152,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000021,Individual,1,,,,,,40.3,40-49,M,Single,United States,United States,38015,$30K-$60K,False,False,,False,3.1923076923076925,7235.442307692308,31353.58333333333,1,1,0
aria_cust_000022,Individual,1,,,,,,49.3,40-49,M,Married,United States,United States,101147,$100K-$150K,False,False,,False,2.4423076923076925,41738.63461538462,180867.41666666663,1,1,0
aria_cust_000023,Individual,1,,,,,,27.3,18-29,F,Divorced,United States,United States,37458,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000024,Individual,1,,,,,,40.2,40-49,F,Married,United States,United States,77131,$60K-$100K,False,False,,False,2.923076923076923,9913.384615384615,42958.0,1,1,0
aria_cust_000025,Individual,1,,,,,,39.1,30-39,F,Married,Germany,Germany,57135,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000026,Individual,1,,,,,,45.0,40-49,F,Married,United States,United States,40633,$30K-$60K,False,False,,False,4.288461538461538,15684.692307692309,67967.0,1,1,0
aria_cust_000027,Individual,1,,,,,,26.4,18-29,F,Single,United States,United States,60835,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000028,Individual,1,,,,,,48.6,40-49,F,Single,United States,United States,87642,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000029,Individual,1,,,,,,60.0,60-69,M,Married,United States,United States,82823,$60K-$100K,False,False,,False,4.769230769230769,15037.442307692309,65162.25,1,0,0
aria_cust_000030,Individual,1,,,,,,31.7,30-39,F,Single,Nigeria,Nigeria,48623,$30K-$60K,False,False,,False,3.3461538461538463,6393.346153846154,27704.5,1,1,0
aria_cust_000031,Individual,1,,,,,,63.6,60-69,M,Widowed,United States,United States,47821,$30K-$60K,False,False,,False,2.2884615384615383,5140.038461538462,22273.5,1,1,0
aria_cust_000032,Individual,1,,,,,,54.5,50-59,F,Single,United States,United States,118881,$100K-$150K,False,False,,False,1.2307692307692308,4344.519230769231,18826.25,1,1,0
aria_cust_000033,Individual,1,,,,,,40.0,40-49,M,Divorced,United States,United States,24403,<$30K,False,False,,False,2.5384615384615383,5065.692307692308,21951.33333333333,1,1,0
aria_cust_000034,Individual,1,,,,,,43.0,40-49,F,Single,United States,United States,56312,$30K-$60K,False,False,,False,2.25,7148.923076923077,30978.666666666668,1,1,0
aria_cust_000035,Individual,1,,,,,,49.9,40-49,M,Single,United States,United States,39829,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000036,Individual,1,,,,,,49.4,40-49,F,Separated,United States,United States,65133,$60K-$100K,False,False,,False,2.1153846153846154,4297.673076923077,18623.25,1,1,0
aria_cust_000037,Individual,1,,,,,,46.4,40-49,M,Married,United States,United States,47297,$30K-$60K,False,False,,False,2.7884615384615383,5794.692307692308,25110.33333333333,1,1,0
aria_cust_000038,Individual,1,,,,,,60.6,60-69,F,Married,United States,United States,57245,$30K-$60K,False,False,,False,1.807692307692308,3709.75,16075.583333333334,1,1,0
aria_cust_000039,Individual,1,,,,,,65.5,60-69,F,Married,United States,United States,136008,$100K-$150K,False,False,,False,2.423076923076923,4604.0,19950.666666666668,1,1,0
aria_cust_000040,Individual,1,,,,,,39.7,30-39,M,Divorced,United States,United States,24096,<$30K,False,False,,False,,,,0,0,0
aria_cust_000041,Individual,1,,,,,,35.8,30-39,F,Married,United States,United States,113637,$100K-$150K,False,False,,False,,,,0,0,0
aria_cust_000042,Individual,1,,,,,,57.5,50-59,M,Married,Afghanistan,Afghanistan,118276,$100K-$150K,False,False,,False,1.1730769230769231,2451.5576923076924,10623.416666666666,1,1,0
aria_cust_000043,Individual,1,,,,,,29.9,18-29,F,Single,United States,United States,32427,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000044,Individual,1,,,,,,40.2,40-49,M,Divorced,United States,United States,37151,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000045,Individual,1,,,,,,28.5,18-29,M,Divorced,United States,United States,41232,$30K-$60K,False,False,,False,2.3076923076923075,4380.2307692307695,18981.0,1,0,0
aria_cust_000046,Individual,1,,,,,,52.2,50-59,F,Married,United States,United States,43030,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000047,Individual,1,,,,,,26.7,18-29,M,Single,United States,United States,71172,$60K-$100K,False,False,,False,2.480769230769231,9021.326923076924,39092.41666666666,1,1,0
aria_cust_000048,Individual,1,,,,,,37.6,30-39,U,Married,United States,United States,32194,$30K-$60K,False,False,,False,2.4038461538461537,3839.288461538461,16636.916666666668,1,0,0
aria_cust_000049,Individual,1,,,,,,52.1,50-59,M,Divorced,United States,United States,40237,$30K-$60K,False,False,,False,1.7115384615384617,5000.2307692307695,21667.666666666668,1,1,0
aria_cust_000050,Individual,1,,,,,,34.8,30-39,F,Single,United States,United States,51810,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000051,Individual,1,,,,,,82.2,70+,F,Married,United States,United States,30533,$30K-$60K,False,False,,False,1.3076923076923077,3291.596153846154,14263.583333333334,1,1,0
aria_cust_000052,Individual,1,,,,,,38.9,30-39,F,Married,United States,United States,59947,$30K-$60K,False,False,,False,2.1923076923076925,4101.903846153846,17774.916666666668,1,1,0
aria_cust_000053,Individual,1,,,,,,48.8,40-49,F,Divorced,United States,United States,53260,$30K-$60K,False,False,,False,1.0192307692307692,5332.211538461538,23106.25,1,1,0
aria_cust_000054,Individual,1,,,,,,36.2,30-39,M,Married,United States,United States,72207,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000055,Individual,1,,,,,,56.3,50-59,F,Divorced,United States,United States,139446,$100K-$150K,False,False,,False,,,,0,0,0
aria_cust_000056,Individual,1,,,,,,40.3,40-49,M,Single,United States,United States,63264,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000057,Individual,1,,,,,,59.7,50-59,M,Single,United States,United States,48923,$30K-$60K,True,False,,False,3.1538461538461537,6581.057692307692,28517.916666666668,1,0,0
aria_cust_000058,Individual,1,,,,,,54.3,50-59,M,Married,United States,United States,92614,$60K-$100K,False,False,,False,,,,0,0,0
aria_cust_000059,Individual,1,,,,,,50.7,50-59,M,Single,Canada,Canada,26072,<$30K,False,False,,False,3.1538461538461537,22817.55769230769,98876.08333333331,1,0,0
aria_cust_000060,Individual,1,,,,,,45.5,40-49,F,Married,United States,United States,59554,$30K-$60K,False,False,,False,2.2115384615384617,4493.711538461538,19472.75,1,1,0
aria_cust_000061,Individual,1,,,,,,56.8,50-59,M,Single,United States,United States,66095,$60K-$100K,False,False,,False,1.8846153846153848,24439.23076923077,105903.33333333331,1,0,0
aria_cust_000062,Individual,1,,,,,,69.9,60-69,M,Widowed,United States,United States,72998,$60K-$100K,False,False,,False,3.7884615384615374,6515.5,28233.83333333333,1,1,0
aria_cust_000063,Individual,1,,,,,,57.4,50-59,F,Married,United States,United States,98181,$60K-$100K,False,False,,False,2.6346153846153846,9850.115384615385,42683.833333333336,1,1,0
aria_cust_000064,Individual,1,,,,,,58.9,50-59,F,Married,United States,United States,75033,$60K-$100K,False,False,,False,2.25,6020.326923076923,26088.08333333333,1,0,0
aria_cust_000065,Individual,1,,,,,,47.3,40-49,M,Widowed,United States,United States,52429,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000066,Individual,1,,,,,,26.6,18-29,F,Married,United States,United States,49053,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000067,Individual,1,,,,,,30.6,30-39,U,Married,United States,United States,25960,<$30K,False,False,,False,,,,0,0,0
aria_cust_000068,Individual,1,,,,,,33.4,30-39,M,Married,United States,United States,88312,$60K-$100K,False,False,,False,1.6346153846153846,3008.596153846154,13037.25,1,1,0
aria_cust_000069,Individual,1,,,,,,22.4,18-29,M,Single,United States,United States,58006,$30K-$60K,False,False,,False,,,,0,0,0
aria_cust_000070,Individual,1,,,,,,43.8,40-49,U,Separated,Canada,Canada,74538,$60K-$100K,False,False,,False,2.6538461538461537,5237.115384615385,22694.166666666668,1,1,0
aria_cust_000071,Individual,1,,,,,,18.4,18-29,M,Married,United States,United States,30900,$30K-$60K,False,False,,False,2.480769230769231,6147.384615384615,26638.666666666668,1,0,0
aria_cust_000072,Individual,1,,,,,,41.8,40-49,M,Divorced,Netherlands,Netherlands,78595,$60K-$100K,False,False,,False,,,,0,0,0
